clinical_event,review_budget,ranking_method,mean_recall_at_k,mean_precision_at_k,mean_lift_vs_random,mean_residual_rate,mean_dangerous_errors_per_100_reviewed,mean_number_needed_to_review,total_captured,total_dangerous_errors,total_residual
general_error,0.05,confidence_only,0.1623,0.6152,3.2467,0.1668,61.5152,1.6373,203,1249,1046
general_error,0.05,entropy_only,0.1382,0.5242,2.7648,0.1716,52.4242,1.9598,173,1249,1076
general_error,0.05,margin_only,0.1585,0.6,3.1702,0.1676,60.0,1.6903,198,1249,1051
general_error,0.05,ophagent_combined,0.1272,0.4788,2.5446,0.174,47.8788,2.1008,158,1249,1091
general_error,0.05,uncertainty_rank_fusion,0.1647,0.6242,3.2931,0.1663,62.4242,1.6195,206,1249,1043
general_error,0.1,confidence_only,0.2975,0.5621,2.9748,0.1478,56.2121,1.7831,371,1249,878
general_error,0.1,entropy_only,0.2629,0.497,2.6294,0.1551,49.697,2.0251,328,1249,921
general_error,0.1,margin_only,0.2997,0.5667,2.9966,0.1473,56.6667,1.772,374,1249,875
general_error,0.1,ophagent_combined,0.2413,0.4545,2.4128,0.1598,45.4545,2.2127,300,1249,949
general_error,0.1,uncertainty_rank_fusion,0.2961,0.5591,2.9614,0.1481,55.9091,1.7915,369,1249,880
general_error,0.2,confidence_only,0.5188,0.4902,2.594,0.114,49.0152,2.0488,647,1249,602
general_error,0.2,entropy_only,0.4957,0.4667,2.4785,0.1199,46.6667,2.1584,616,1249,633
general_error,0.2,margin_only,0.5203,0.4917,2.6015,0.1136,49.1667,2.0397,649,1249,600
general_error,0.2,ophagent_combined,0.4509,0.4235,2.2547,0.1307,42.3485,2.3851,559,1249,690
general_error,0.2,uncertainty_rank_fusion,0.5168,0.4879,2.5842,0.1146,48.7879,2.0549,644,1249,605
general_error,0.3,confidence_only,0.695,0.4374,2.3166,0.0829,43.7374,2.2923,866,1249,383
general_error,0.3,entropy_only,0.6861,0.4313,2.2869,0.0855,43.1313,2.3303,854,1249,395
general_error,0.3,margin_only,0.6971,0.4389,2.3235,0.0823,43.8889,2.2849,869,1249,380
general_error,0.3,ophagent_combined,0.6343,0.3975,2.1144,0.1,39.7475,2.5474,787,1249,462
general_error,0.3,uncertainty_rank_fusion,0.6957,0.4379,2.3192,0.0827,43.7879,2.2901,867,1249,382
large_undergrading,0.05,confidence_only,0.1634,0.1333,3.2685,0.0349,13.3333,8.9524,44,263,219
large_undergrading,0.05,entropy_only,0.1286,0.1061,2.5725,0.0364,10.6061,11.2292,35,263,228
large_undergrading,0.05,margin_only,0.1349,0.1091,2.6983,0.0362,10.9091,10.2725,36,263,227
large_undergrading,0.05,ophagent_combined,0.2434,0.1939,4.8684,0.0317,19.3939,5.3472,64,263,199
large_undergrading,0.05,uncertainty_rank_fusion,0.1686,0.1364,3.3717,0.0348,13.6364,8.7083,45,263,218
large_undergrading,0.1,confidence_only,0.2522,0.1015,2.5224,0.033,10.1515,11.3868,67,263,196
